text,label,category,language,source_dataset
"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/ú1.20 POBOXox36504W45WQ 16+",SCAM,OTHER_SCAM,English,UCI SMS Spam Collection
Is that seriously how you spell his name?,SAFE,SAFE,English,UCI SMS Spam Collection
I‘m going to try for 2 months ha ha only joking,SAFE,SAFE,English,UCI SMS Spam Collection
So ü pay first lar... Then when is da stock comin...,SAFE,SAFE,English,UCI SMS Spam Collection
Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,SAFE,SAFE,English,UCI SMS Spam Collection
Ffffffffff. Alright no way I can meet up with you sooner?,SAFE,SAFE,English,UCI SMS Spam Collection
Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,SAFE,SAFE,English,UCI SMS Spam Collection
Lol your always so convincing.,SAFE,SAFE,English,UCI SMS Spam Collection
Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,SAFE,SAFE,English,UCI SMS Spam Collection
"I'm back &amp; we're packing the car now, I'll let you know if there's room",SAFE,SAFE,English,UCI SMS Spam Collection
Ahhh. Work. I vaguely remember that! What does it feel like? Lol,SAFE,SAFE,English,UCI SMS Spam Collection
"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",SAFE,SAFE,English,UCI SMS Spam Collection
Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You?,SAFE,SAFE,English,UCI SMS Spam Collection
K tell me anything about you.,SAFE,SAFE,English,UCI SMS Spam Collection
For fear of fainting with the of all that housework you just did? Quick have a cuppa,SAFE,SAFE,English,UCI SMS Spam Collection
Thanks for your subscription to Ringtone UK your mobile will be charged £5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,SCAM,OTHER_SCAM,English,UCI SMS Spam Collection
Yup... Ok i go home look at the timings then i msg ü again... Xuhui going to learn on 2nd may too but her lesson is at 8am,SAFE,SAFE,English,UCI SMS Spam Collection
"Oops, I'll let you know when my roommate's done",SAFE,SAFE,English,UCI SMS Spam Collection
I see the letter B on my car,SAFE,SAFE,English,UCI SMS Spam Collection
Anything lor... U decide...,SAFE,SAFE,English,UCI SMS Spam Collection
Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,SAFE,SAFE,English,UCI SMS Spam Collection
Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,SAFE,SAFE,English,UCI SMS Spam Collection
"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy",SAFE,SAFE,English,UCI SMS Spam Collection
07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,SCAM,OTHER_SCAM,English,UCI SMS Spam Collection
WHO ARE YOU SEEING?,SAFE,SAFE,English,UCI SMS Spam Collection
Great! I hope you like your man well endowed. I am &lt;#&gt; inches...,SAFE,SAFE,English,UCI SMS Spam Collection
No calls..messages..missed calls,SAFE,SAFE,English,UCI SMS Spam Collection
Didn't you get hep b immunisation in nigeria.,SAFE,SAFE,English,UCI SMS Spam Collection
"Fair enough, anything going on?",SAFE,SAFE,English,UCI SMS Spam Collection
"Yeah hopefully, if tyler can't do it I could maybe ask around a bit",SAFE,SAFE,English,UCI SMS Spam Collection
U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,SAFE,SAFE,English,UCI SMS Spam Collection
What you thinked about me. First time you saw me in class.,SAFE,SAFE,English,UCI SMS Spam Collection
"A gram usually runs like &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for &lt;#&gt;",SAFE,SAFE,English,UCI SMS Spam Collection
K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,SAFE,SAFE,English,UCI SMS Spam Collection
"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about ""the cave"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.",SAFE,SAFE,English,UCI SMS Spam Collection
SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,SCAM,OTHER_SCAM,English,UCI SMS Spam Collection
Do you know what Mallika Sherawat did yesterday? Find out now @ &lt;URL&gt;,SAFE,SAFE,English,UCI SMS Spam Collection
"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out!",SCAM,OTHER_SCAM,English,UCI SMS Spam Collection
"Sorry, I'll call later in meeting.",SAFE,SAFE,English,UCI SMS Spam Collection
Tell where you reached,SAFE,SAFE,English,UCI SMS Spam Collection
Yes..gauti and sehwag out of odi series.,SAFE,SAFE,English,UCI SMS Spam Collection
Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,SAFE,SAFE,English,UCI SMS Spam Collection
Ha ha ha good joke. Girls are situation seekers.,SAFE,SAFE,English,UCI SMS Spam Collection
Its a part of checking IQ,SAFE,SAFE,English,UCI SMS Spam Collection
"Sorry my roommates took forever, it ok if I come by now?",SAFE,SAFE,English,UCI SMS Spam Collection
Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,SAFE,SAFE,English,UCI SMS Spam Collection
"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a £1500 Bonus Prize, call 09066364589",SCAM,OTHER_SCAM,English,UCI SMS Spam Collection
"Today is ""song dedicated day.."" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...",SAFE,SAFE,English,UCI SMS Spam Collection
"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or £1000. To claim txt DIS to 87121 18+6*£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",SCAM,OTHER_SCAM,English,UCI SMS Spam Collection
"Did you hear about the new ""Divorce Barbie""? It comes with all of Ken's stuff!",SCAM,OTHER_SCAM,English,UCI SMS Spam Collection
I plane to give on this month end.,SAFE,SAFE,English,UCI SMS Spam Collection
Wah lucky man... Then can save money... Hee...,SAFE,SAFE,English,UCI SMS Spam Collection
Finished class where are you.,SAFE,SAFE,English,UCI SMS Spam Collection
HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,SAFE,SAFE,English,UCI SMS Spam Collection
K..k:)where are you?how did you performed?,SAFE,SAFE,English,UCI SMS Spam Collection
U can call me now...,SAFE,SAFE,English,UCI SMS Spam Collection
I am waiting machan. Call me once you free.,SAFE,SAFE,English,UCI SMS Spam Collection
Thats cool. i am a gentleman and will treat you with dignity and respect.,SAFE,SAFE,English,UCI SMS Spam Collection
I like you peoples very much:) but am very shy pa.,SAFE,SAFE,English,UCI SMS Spam Collection
Does not operate after &lt;#&gt; or what,SAFE,SAFE,English,UCI SMS Spam Collection
Its not the same here. Still looking for a job. How much do Ta's earn there.,SAFE,SAFE,English,UCI SMS Spam Collection
"Sorry, I'll call later",SAFE,SAFE,English,UCI SMS Spam Collection
K. Did you call me just now ah?,SAFE,SAFE,English,UCI SMS Spam Collection
Ok i am on the way to home hi hi,SAFE,SAFE,English,UCI SMS Spam Collection
You will be in the place of that man,SAFE,SAFE,English,UCI SMS Spam Collection
Yup next stop.,SAFE,SAFE,English,UCI SMS Spam Collection
"I call you later, don't have network. If urgnt, sms me.",SAFE,SAFE,English,UCI SMS Spam Collection
For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.,SAFE,SAFE,English,UCI SMS Spam Collection
Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.,SAFE,SAFE,English,UCI SMS Spam Collection
I'm really not up to it still tonight babe,SAFE,SAFE,English,UCI SMS Spam Collection
"Ela kano.,il download, come wen ur free..",SAFE,SAFE,English,UCI SMS Spam Collection
Yeah do! Don‘t stand to close tho- you‘ll catch something!,SAFE,SAFE,English,UCI SMS Spam Collection
Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry.,SAFE,SAFE,English,UCI SMS Spam Collection
Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,SAFE,SAFE,English,UCI SMS Spam Collection
Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed £1000 cash or £5000 prize!,SCAM,OTHER_SCAM,English,UCI SMS Spam Collection
Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?,SAFE,SAFE,English,UCI SMS Spam Collection
"Your free ringtone is waiting to be collected. Simply text the password ""MIX"" to 85069 to verify. Get Usher and Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16",SCAM,OTHER_SCAM,English,UCI SMS Spam Collection
Watching telugu movie..wat abt u?,SAFE,SAFE,English,UCI SMS Spam Collection
i see. When we finish we have loads of loans to pay,SAFE,SAFE,English,UCI SMS Spam Collection
"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?""",SAFE,SAFE,English,UCI SMS Spam Collection
I see a cup of coffee animation,SAFE,SAFE,English,UCI SMS Spam Collection
Please don't text me anymore. I have nothing else to say.,SAFE,SAFE,English,UCI SMS Spam Collection
Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx,SAFE,SAFE,English,UCI SMS Spam Collection
I'm still looking for a car to buy. And have not gone 4the driving test yet.,SAFE,SAFE,English,UCI SMS Spam Collection
"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.",SAFE,SAFE,English,UCI SMS Spam Collection
Umma my life and vava umma love you lot dear,SAFE,SAFE,English,UCI SMS Spam Collection
Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.,SAFE,SAFE,English,UCI SMS Spam Collection
"Aight, I'll hit you up when I get some cash",SAFE,SAFE,English,UCI SMS Spam Collection
How would my ip address test that considering my computer isn't a minecraft server,SAFE,SAFE,English,UCI SMS Spam Collection
I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...,SAFE,SAFE,English,UCI SMS Spam Collection
Dont worry. I guess he's busy.,SAFE,SAFE,English,UCI SMS Spam Collection
What is the plural of the noun research?,SAFE,SAFE,English,UCI SMS Spam Collection
Going for dinner.msg you after.,SAFE,SAFE,English,UCI SMS Spam Collection
I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.,SAFE,SAFE,English,UCI SMS Spam Collection
GENT! We are trying to contact you. Last weekends draw shows that you won a £1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,SCAM,OTHER_SCAM,English,UCI SMS Spam Collection
"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?",SAFE,SAFE,English,UCI SMS Spam Collection
"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",SAFE,SAFE,English,UCI SMS Spam Collection
You are a winner U have been specially selected 2 receive £1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+),SCAM,LOTTERY_SCAM,English,UCI SMS Spam Collection
Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed!,SAFE,SAFE,English,UCI SMS Spam Collection
Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.,SAFE,SAFE,English,UCI SMS Spam Collection
PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,SCAM,OTHER_SCAM,English,UCI SMS Spam Collection
"URGENT! Your Mobile No. was awarded £2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM",SCAM,OTHER_SCAM,English,UCI SMS Spam Collection
here is my new address -apples&pairs&all that malarky,SAFE,SAFE,English,UCI SMS Spam Collection
Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app,SCAM,OTHER_SCAM,English,UCI SMS Spam Collection
I am going to sao mu today. Will be done only at 12,SAFE,SAFE,English,UCI SMS Spam Collection
Ü predict wat time ü'll finish buying?,SAFE,SAFE,English,UCI SMS Spam Collection
"Good stuff, will do.",SAFE,SAFE,English,UCI SMS Spam Collection
"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise.",SAFE,SAFE,English,UCI SMS Spam Collection
Are you there in room.,SAFE,SAFE,English,UCI SMS Spam Collection
HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx,SAFE,SAFE,English,UCI SMS Spam Collection
K..k:)how much does it cost?,SAFE,SAFE,English,UCI SMS Spam Collection
I'm home.,SAFE,SAFE,English,UCI SMS Spam Collection
"Dear, will call Tmorrow.pls accomodate.",SAFE,SAFE,English,UCI SMS Spam Collection
First answer my question.,SAFE,SAFE,English,UCI SMS Spam Collection
Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. £1.50 SP:Tyrone,SCAM,OTHER_SCAM,English,UCI SMS Spam Collection
Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p,SCAM,OTHER_SCAM,English,UCI SMS Spam Collection
I only haf msn. It's yijue@hotmail.com,SAFE,SAFE,English,UCI SMS Spam Collection
He is there. You call and meet him,SAFE,SAFE,English,UCI SMS Spam Collection
No no. I will check all rooms befor activities,SAFE,SAFE,English,UCI SMS Spam Collection
You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again,SCAM,OTHER_SCAM,English,UCI SMS Spam Collection
Got c... I lazy to type... I forgot ü in lect... I saw a pouch but like not v nice...,SAFE,SAFE,English,UCI SMS Spam Collection
"K, text me when you're on the way",SAFE,SAFE,English,UCI SMS Spam Collection
"Sir, Waiting for your mail.",SAFE,SAFE,English,UCI SMS Spam Collection
"A swt thought: ""Nver get tired of doing little things 4 lovable persons.."" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8",SAFE,SAFE,English,UCI SMS Spam Collection
I know you are. Can you pls open the back?,SAFE,SAFE,English,UCI SMS Spam Collection
Yes see ya not on the dot,SAFE,SAFE,English,UCI SMS Spam Collection
Whats the staff name who is taking class for us?,SAFE,SAFE,English,UCI SMS Spam Collection
"FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end",SCAM,OTHER_SCAM,English,UCI SMS Spam Collection
Ummma.will call after check in.our life will begin from qatar so pls pray very hard.,SAFE,SAFE,English,UCI SMS Spam Collection
K..i deleted my contact that why?,SAFE,SAFE,English,UCI SMS Spam Collection
Sindu got job in birla soft ..,SAFE,SAFE,English,UCI SMS Spam Collection
The wine is flowing and i'm i have nevering..,SAFE,SAFE,English,UCI SMS Spam Collection
Yup i thk cine is better cos no need 2 go down 2 plaza mah.,SAFE,SAFE,English,UCI SMS Spam Collection
Ok... Ur typical reply...,SAFE,SAFE,English,UCI SMS Spam Collection
"You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one.",SAFE,SAFE,English,UCI SMS Spam Collection
Aaooooright are you at work?,SAFE,SAFE,English,UCI SMS Spam Collection
I'm leaving my house now...,SAFE,SAFE,English,UCI SMS Spam Collection
"Hello, my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?",SAFE,SAFE,English,UCI SMS Spam Collection
Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery,SCAM,OTHER_SCAM,English,UCI SMS Spam Collection
You are a winner U have been specially selected 2 receive £1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810,SCAM,LOTTERY_SCAM,English,UCI SMS Spam Collection
Keep yourself safe for me because I need you and I miss you already and I envy everyone that see's you in real life,SAFE,SAFE,English,UCI SMS Spam Collection
New car and house for my parents.:)i have only new job in hand:),SAFE,SAFE,English,UCI SMS Spam Collection
I'm so in love with you. I'm excited each day i spend with you. You make me so happy.,SAFE,SAFE,English,UCI SMS Spam Collection
-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468,SCAM,PHISHING,English,UCI SMS Spam Collection
"BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR content. If U do not, GoTo wap. bangb. tv on UR mobile internet/service menu",SCAM,OTHER_SCAM,English,UCI SMS Spam Collection
I place all ur points on e cultures module already.,SAFE,SAFE,English,UCI SMS Spam Collection
URGENT! We are trying to contact you. Last weekends draw shows that you have won a £900 prize GUARANTEED. Call 09061701939. Claim code S89. Valid 12hrs only,SCAM,OTHER_SCAM,English,UCI SMS Spam Collection
"Hi frnd, which is best way to avoid missunderstding wit our beloved one's?",SAFE,SAFE,English,UCI SMS Spam Collection
Great escape. I fancy the bridge but needs her lager. See you tomo,SAFE,SAFE,English,UCI SMS Spam Collection
Yes :)it completely in out of form:)clark also utter waste.,SAFE,SAFE,English,UCI SMS Spam Collection
"Sir, I need AXIS BANK account no and bank address.",SAFE,SAFE,English,UCI SMS Spam Collection
"Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao...",SAFE,SAFE,English,UCI SMS Spam Collection
What time you coming down later?,SAFE,SAFE,English,UCI SMS Spam Collection
"Bloody hell, cant believe you forgot my surname Mr . Ill give u a clue, its spanish and begins with m...",SAFE,SAFE,English,UCI SMS Spam Collection
"Well, i'm gonna finish my bath now. Have a good...fine night.",SAFE,SAFE,English,UCI SMS Spam Collection
Let me know when you've got the money so carlos can make the call,SAFE,SAFE,English,UCI SMS Spam Collection
U still going to the mall?,SAFE,SAFE,English,UCI SMS Spam Collection
"Turns out my friends are staying for the whole show and won't be back til ~ &lt;#&gt; , so feel free to go ahead and smoke that $ &lt;#&gt; worth",SAFE,SAFE,English,UCI SMS Spam Collection
Text her. If she doesnt reply let me know so i can have her log in,SAFE,SAFE,English,UCI SMS Spam Collection
Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.,SAFE,SAFE,English,UCI SMS Spam Collection
You lifted my hopes with the offer of money. I am in need. Especially when the end of the month approaches and it hurts my studying. Anyways have a gr8 weekend,SAFE,SAFE,English,UCI SMS Spam Collection
Lol no. U can trust me.,SAFE,SAFE,English,UCI SMS Spam Collection
ok. I am a gentleman and will treat you with dignity and respect.,SAFE,SAFE,English,UCI SMS Spam Collection
"He will, you guys close?",SAFE,SAFE,English,UCI SMS Spam Collection
Going on nothing great.bye,SAFE,SAFE,English,UCI SMS Spam Collection
Hello handsome ! Are you finding that job ? Not being lazy ? Working towards getting back that net for mummy ? Where's my boytoy now ? Does he miss me ?,SAFE,SAFE,English,UCI SMS Spam Collection
"Haha awesome, be there in a minute",SAFE,SAFE,English,UCI SMS Spam Collection
Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed £1000 cash or £5000 prize!,SCAM,OTHER_SCAM,English,UCI SMS Spam Collection
Have you got Xmas radio times. If not i will get it now,SAFE,SAFE,English,UCI SMS Spam Collection
I jus reached home. I go bathe first. But my sis using net tell u when she finishes k...,SAFE,SAFE,English,UCI SMS Spam Collection
Are you unique enough? Find out from 30th August. www.areyouunique.co.uk,SCAM,PHISHING,English,UCI SMS Spam Collection
I'm sorry. I've joined the league of people that dont keep in touch. You mean a great deal to me. You have been a friend at all times even at great personal cost. Do have a great week.|,SAFE,SAFE,English,UCI SMS Spam Collection
Hi :)finally i completed the course:),SAFE,SAFE,English,UCI SMS Spam Collection
It will stop on itself. I however suggest she stays with someone that will be able to give ors for every stool.,SAFE,SAFE,English,UCI SMS Spam Collection
How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day,SAFE,SAFE,English,UCI SMS Spam Collection
Gud mrng dear hav a nice day,SAFE,SAFE,English,UCI SMS Spam Collection
Did u got that persons story,SAFE,SAFE,English,UCI SMS Spam Collection
is your hamster dead? Hey so tmr i meet you at 1pm orchard mrt?,SAFE,SAFE,English,UCI SMS Spam Collection
Hi its Kate how is your evening? I hope i can see you tomorrow for a bit but i have to bloody babyjontet! Txt back if u can. :) xxx,SAFE,SAFE,English,UCI SMS Spam Collection
"Found it, ENC &lt;#&gt; , where you at?",SAFE,SAFE,English,UCI SMS Spam Collection
I sent you &lt;#&gt; bucks,SAFE,SAFE,English,UCI SMS Spam Collection
Hello darlin ive finished college now so txt me when u finish if u can love Kate xxx,SAFE,SAFE,English,UCI SMS Spam Collection
Your account has been refilled successfully by INR &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .,SAFE,SAFE,English,UCI SMS Spam Collection
Goodmorning sleeping ga.,SAFE,SAFE,English,UCI SMS Spam Collection
U call me alter at 11 ok.,SAFE,SAFE,English,UCI SMS Spam Collection
Ü say until like dat i dun buy ericsson oso cannot oredi lar...,SAFE,SAFE,English,UCI SMS Spam Collection
"Aight yo, dats straight dogg",SAFE,SAFE,English,UCI SMS Spam Collection
You please give us connection today itself before &lt;DECIMAL&gt; or refund the bill,SAFE,SAFE,English,UCI SMS Spam Collection
Both :) i shoot big loads so get ready!,SAFE,SAFE,English,UCI SMS Spam Collection
"What's up bruv, hope you had a great break. Do have a rewarding semester.",SAFE,SAFE,English,UCI SMS Spam Collection
Home so we can always chat,SAFE,SAFE,English,UCI SMS Spam Collection
K:)k:)good:)study well.,SAFE,SAFE,English,UCI SMS Spam Collection
Yup... How ü noe leh...,SAFE,SAFE,English,UCI SMS Spam Collection
Sounds great! Are you home now?,SAFE,SAFE,English,UCI SMS Spam Collection
Finally the match heading towards draw as your prediction.,SAFE,SAFE,English,UCI SMS Spam Collection
Tired. I haven't slept well the past few nights.,SAFE,SAFE,English,UCI SMS Spam Collection
Easy ah?sen got selected means its good..,SAFE,SAFE,English,UCI SMS Spam Collection
I have to take exam with march 3,SAFE,SAFE,English,UCI SMS Spam Collection
Yeah you should. I think you can use your gt atm now to register. Not sure but if there's anyway i can help let me know. But when you do be sure you are ready.,SAFE,SAFE,English,UCI SMS Spam Collection
Ok no prob. Take ur time.,SAFE,SAFE,English,UCI SMS Spam Collection
There is os called ubandu which will run without installing in hard disk...you can use that os to copy the important files in system and give it to repair shop..,SAFE,SAFE,English,UCI SMS Spam Collection
U say leh... Of course nothing happen lar. Not say v romantic jus a bit only lor. I thk e nite scenery not so nice leh.,SAFE,SAFE,English,UCI SMS Spam Collection
"500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY £1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18",SCAM,PHISHING,English,UCI SMS Spam Collection
Would really appreciate if you call me. Just need someone to talk to.,SAFE,SAFE,English,UCI SMS Spam Collection
"Will u meet ur dream partner soon? Is ur career off 2 a flyng start? 2 find out free, txt HORO followed by ur star sign, e. g. HORO ARIES",SCAM,OTHER_SCAM,English,UCI SMS Spam Collection
Hey company elama po mudyadhu.,SAFE,SAFE,English,UCI SMS Spam Collection
"Life is more strict than teacher... Bcoz Teacher teaches lesson &amp; then conducts exam, But Life first conducts Exam &amp; then teaches Lessons. Happy morning. . .",SAFE,SAFE,English,UCI SMS Spam Collection
Dear good morning now only i am up,SAFE,SAFE,English,UCI SMS Spam Collection
Get down in gandhipuram and walk to cross cut road. Right side &lt;#&gt; street road and turn at first right.,SAFE,SAFE,English,UCI SMS Spam Collection
Dear we are going to our rubber place,SAFE,SAFE,English,UCI SMS Spam Collection
"Sorry battery died, yeah I'm here",SAFE,SAFE,English,UCI SMS Spam Collection
Yes:)here tv is always available in work place..,SAFE,SAFE,English,UCI SMS Spam Collection
Text & meet someone sexy today. U can find a date or even flirt its up to U. Join 4 just 10p. REPLY with NAME & AGE eg Sam 25. 18 -msg recd@thirtyeight pence,SCAM,OTHER_SCAM,English,UCI SMS Spam Collection
